department_id,department_name,subdepartment_id,subdepartment_name,kpi_ref_number,kpi,unit_of_measurement,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_actual,second_quarter_target,third_quarter_target,fourth_quarter_target,budget,performance_standard
5,TECHNICAL SERVICES,13,Water and Sanitation,TS05,Provision of water to rural villages,Ml of treated water,98,"  Job cards from water tankers, borehole maintanace report",1172.5 Ml of treated water provided to the rural communities,625 Ml ,175 Ml ,175 Ml ,175 Ml ,100 Ml , A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS06,New water & wastewater connections,No of HHs connected ,98,"Application forms and proof of payment for connection fee, job cards",120HH,100% requested,100% requested,100% requested,100% requested,100% requested, A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS07,Treatment of wastewater through eMkhondo and Amsterdam Wastewater treatment schemes,Number of ML of treated treated water,98,Monthly Reports  generated from metre readings ,2 555 Ml of treated wastewater,"2,555",638 Ml ,638 Ml ,638 Ml ,638 Ml , A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS08,Draining of septic tanks in Amsterdam,Number of ML waste water drained from sceptic tanks,98,"Job cards, Wastewater Tankers Register ",14.6 Ml of wastewater drained from septic tanks,7 Ml,1.8Ml ,1.8Ml ,1.8Ml ,1.8Ml , A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS09,Conduct laboratory analysis to establish the quality of treated wastewater,Number of waste water samples analysed,98,Compliance certificates,100 wastewater samples ,96,24,24,24,24, A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS10,Conduct laboratory analysis to establish the quality of treated water,Number of water samples analysed,98,Compliance certificates,580 of water samples,576 of water samples,144,144,144,144, A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,13,Water and Sanitation,TS11,Construction of Water Reticulation in  rural villages,number of HH reticulated,98,Jod cards & Pictures,"2,604 ","2,000 ",300,700,700,300, A3-Vote 13 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS12,Carry out the new installation of street lights  ,20 new street lights installed,98,Streets lights installed Job cards and/or delivery papers,20 new street lights installed,20,0,20,0,0, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS13,"Repairs and Maintenance of 250 W , 150 W and 100 W and Luminaire",Inspected/reported faulty lights attended to by personnel,98,Facilitate register with date street lights reported and date repaired plus job cards,Inspected/reported faulty lights attended to by personnel,100 % Inspected/ reported,100 %  Inspected/ reported,100 % Inspected/ reported,100 % Inspected/ reported,100 % Inspected/ reported, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS14,Reticulation maintenance,lines maintaid per KM,98,Job cards and delivery papers,lines maintaid per KM,100%,25%,25%,25%,25%, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS15,Traffic lights maintenance,maintenance of 3 intersection,98,Job cards and delivery papers,maintenance of intersection,100%,0%,70%,30%,0%, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS16,Transformer Maintenance,15 transformers maintained and oil sampled,98,maintenance report and delivery papers,Few transformers must be maintained,100%,70%,30%,0%,0%, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS17,Replace protection relays,No of relays replaced,98,Reports on relays replaced & photos,5 installed,25 relays,10,5,5,5, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS18,7 breakers substation maintain and 7 RMU maintain and procure xlpe cable 1 KM.,Maintenance of breakers & RMU,98,"Delivery note,Invoices and Qoutations of xlpe Cable Procured and installed",New KPI,100%,_,40%,30%,30%, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS19,Ordering of Electrical testers,No. of electric testers procured,98,"Delivery note,Invoices and Qoutations of Electric Testers procured",New KPI,3 Electric testers,2,1,_,_, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS20,Ordering of Bulk meters,No. of bulk  meters ,98,"Delivery note,Invoices and Installation report of bulk meters procured",New KPI,40 Bulk Meters,10,10,10,10, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS21,Awareness Campaing,Number of awareness campaign,98,awareness campaign reports,New KPI,2 awareness,_,1 Awareness,_,1 Awareness, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS22,New Electrification connections,Number of new reqeust,98,Completion certificate,,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,14,ELECTRICAL SERVICES ,TS23,Approved Electricity Master Plan,To have an approved Electrical Master Plan,98,Approved Electricity Master Plan,New KPI,Approved by Council Electricity Master Plan,_,Approved Electricity Master Plan,_,_, A3-Vote 14 ,KPI Well Met
5,TECHNICAL SERVICES,15,ROADS AND STORM WATER,TS24,Carry out repairs of base patches and their defects,Square meters,98,Reports on  repairs of base patches and their defect and pictures ,20000 m2,20000 m2,5000,5000,5000,5000, A3-Vote 10 ,KPI Well Met
5,TECHNICAL SERVICES,15,ROADS AND STORM WATER,TS25,Carry out maintenance of storm water infrastructure,Number Kilometers of storm water pipes mantained,98,Reports on storm water pipes mantained for each month,20,40 Kilometres,10,10,10,10, A3-Vote 10 ,KPI Well Met
5,TECHNICAL SERVICES,15,ROADS AND STORM WATER,TS26,,Number of catchpits cleaned,98,Quartely Reports on  roads kerbs repaired and pictures as annaxures  before repairs and  After with date ,40,40,10,10,10,10, A3-Vote 10 ,KPI Well Met
5,TECHNICAL SERVICES,15,ROADS AND STORM WATER,TS27,Perform blading or levelling of gravel roads,"Number of Km of regravelled, bladed and levelled roads",98,Quartely  reports on  gravel roads regravelled and pictures as annexures with date before regravelled and after.,80,120,40,40,40,40, A3-Vote 10 ,KPI Not Met
5,TECHNICAL SERVICES,15,ROADS AND STORM WATER,TS28,Perform balding or levelling of gravel roads,No. of Km of gravel roads bladed/levelled,,Quartely  reports on gravel roads bladed/levelled and pictures as annaxures with date before gravel roads bladed/levelled and after.,160km,160km,40km,40km,40km,40km, A3-Vote 10 ,KPI Not Met
5,TECHNICAL SERVICES,15,ROADS AND STORM WATER (Cemetry),TS29,Grave preparation closing of graves and documentation,"Number of graves prepared, closed and paper work processed ",,Quartely  reports.,N/A,Reported number of deaths,N/A,N/A,N/A,N/A, A3-Vote 10 ,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS30,Construction of Driefontein to Iswepe and Haartebeesfontein Water Bulk Line,No. of km bulk pipeline constructed / laid. ,98,Monthly reports submited including the photographs,Construction of 10km water bulk line from Driefontein to Iswepe and Haartebeesfontein(multi-year),10 km of 250mm diameter pipeline ,2 Km of 110mm diameter pipeline laid ,4 Km of  110mm diameter pipeline laid and 2km of 110mm diameter pipeline laid,4Km of 110mm diameter pipeline laid ,Total of 10km 110mm diameter pipeline  laid., A5-Vote 13 ,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS31,,No. of reservoir constructed. No of tests conducted on the reseivoir. ,98,Monthly reports submited including the photographs,,1 reservoir ,erection of the steel reservoir ,Testing of the reservoir for lakage,100% complete,100% complete,,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS32,,No. of pump station contracted / laid. ,98,None,, 1 pump station,40% earthworks completed,100% of earthworks completed,100% of concrete works completed,Installation of a pump,,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS33,"Bulk Line to Forestview, Maphepheni, Malayinini and Rustplaas",No. of reservoir and elavated tanks constructed,98,Monthly reports submited including the photographs,Inprogress at 91% complete,3 Reservoirs and 2x Elevated tanks,3 Reservoirs and 2x Elevated tanks and project handover,Project completed and Handed-Over,,, A5-Vote 13 ,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS34,,No. of pump station constructed,98,,,3Pump station,3 Pump Station and project handover,,,,,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS35,,No. of km bulk pipeline constructed,98,,,20Km Pipeline,20Km Pipeline and project handover,,,,,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS36,"Construction of Municipal Offices, Library and Community Halls","% of Municipal Offices, Library and Community Halls constructed",98,Monthly reports submited including the photographs,"Construction of Municipal Offices, Library and Community Halls",100% completion ,100% overall completion,Project completed and Handed-Over,_,_, A5-Vote 10 ,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS37,Construction of Main Access Road in Sandbank,No. of river crossing bridges constructed and Km of road,98,Monthly reports submited including the photographs,New,2 River crossing culvets and 3km road(earthworks and layerworks),site establishment and site setting out,1 River crossing culverts,1 River crossing culverts,3 km eathworks and road layerworks, A5-Vote 10 ,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS38,Erection of a new cemetery,"Km's access road constructed, number of grave space created, km's Palisade fence constructed",98,Monthly reports submited including the photographs,Current cemetry has reached its full capacity,"12 Km gravel access road,1 ablution, increased grave space,1 office and store room,6.7km pallisade fence",Tender advert and appointments,"Site establishment, internal raods 30km","12 km Access roads,office and store room",6.7km Pallisade fencing and project handover, A5-Vote 10 ,KPI Not Met
5,TECHNICAL SERVICES,16,PROJECT MANAGEMENT UNIT,TS39,Installation of storm water drainage,"V Drains,  Gabions constructed and earthworks ",98,Monthly reports submited including the photographs,Installation of storm water drainage,"500m of Vdrain, 150m Gabions, 200m open drains and stormwater pipes",125 m of Vdrains and 50m gabions and earthworks ,125 m Vdrains and 100m stormwater pipes,125 m  Vdrains and 100m stormwater pipes,125 m Vdrains and 50m gabions and earthworks  , A5-Vote 10 ,KPI Not Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD01,Facilitate the Phezu Komkhondo Project.,Date to submit time sheet.,106,Proof of submission.,Timesheets submitted by 30th of each month.,30th of each month.,30th of each month.,30th of each month.,30th of each month.,30th of each month.,A3-Vote 4,KPI Not Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD02,LED Forum.,No.of the Executive LED  Forum Meetings held.,100,Minutes of meetings and attendance register.,14 Executive LED Forum Meetings held .,4 Executive LED Meetings.,1,1,1,1,A3-Vote 4,KPI Not Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD03,,No.of the LED Stakeholder Forum meetings held.,100,Minutes of meetings and attendance register.,4 Stakeholder Forum Meetings held.,2,1,,1,,A3-Vote 4,KPI Not Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD04,Tourism Forum.,No.of Tourism Forum Meetings held.,100,Minutes of meetings and attendance register.,2 Tourism Forum meetings held.,2 Tourism Forum Meetings.,,1,,1,A3-Vote 4,KPI Not Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD05,Coordinate Heritage Month.,Celebration of  Heritage month.,111,"Invitations, pictures with date and attendance register.",1 Heritage day celebrated in 2015/16,1,1,-,-,-,A3-Vote 4,KPI Not Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD06,Coordinate Art & Craft Exhibitions.,Number of Art & Craft promotions coordinated.,112,"Concept Document, pictures with dates and attendance reister of the event.",6 Tourism Promotion events coordinated ,6,2,2,1,1,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD07,Participate at Tourism Indaba 2017,Attending Tourism Indabas 2017.,112,"Invitation, Attendance Register, name badge.",1 Tourism Promotion indaba was attended.,1,-,-,-,1,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD08,,1000 copies Tourism Bronchure.,112,Delivery note.,None,1000,-,-,1000 Copies of Tourism Brochure.,-,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD09,"Support of Cooperative with infrastructure, tools  or machinery.",Number of  cooperatives supported.,110,"Attendance register, delivery note, cooperatives profile.",10 Coorperatives supported.,6,,,3,3,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD10,,Number of cooperatives and SMME's supported and attendant the event on the day.,,"Pictures, attendance register, invitations.",Gert Sibande Cooperative Day 2015/16 / International Cooperative Day 2015/16.,1,-,-,1,-,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD11,,Nmber of training held and attandance registers ,110,Attendance registers.,4 Capacity Building coordinated.,4,1,1,1,1,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD12,Process plan,Approved Process plan,99,Approved Process plan,2017-2022 Process Plan,Approved Process plan,1,0,0,0,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD13,IDP Steering committee ,Number of IDP Steering committee meeting ,99,Attandance registers and minutes,3 IDP Steering committee meetings held ,3,1,1,1,0,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD14,IDP Representative Forum ,Number of IDP Rep forum ,99,Minutes and attandance registers,2 IDP Rep forum,3 IDP Rep forum ,1,1,1,0,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD15,Approved IDP 2017-2022,Approved IDP ,99,Approved IDP ,2017-2022 Approved IDP,Approved IDP ,0,0,0,Final Approved IDP ,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD16,Development of  2016 - 2020 IDP,Needs analysis report,109,Needs analysis report signed off ,38 Ward  Meetings,38 Meetings,0,1,0,0,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD17,Develop Local Spatial Development Framework ,Final Draft Spatial Development Framework,107,Final Draft Spatial Development Framework,Preliminary Status Quo Analysis,Final Draft Spatial Development Framework,0,0,0,Final Draft Spatial Development Framework,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD18,To have compatible land uses in designated areas as per Land Use Sheme and By-law,% of  land use inspections conducted quarterly,107,Copies of contravention notices issued,Conduct 100% of land use inspections as and when required,100%,100%,100%,100%,100%,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD19,Process qualifying Land use applications,List of approved/ rejected applications,107,List of approved/ rejected applications,100%,List of approved/ rejected applications,List of approved/ rejected applications,List of approved/ rejected applications,List of approved/ rejected applications,List of approved/ rejected applications,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,17,Planning and Development,PD20,Assist public with Town Planning queries,Attend to 100% of queries,104,Register of qeuries,No existing register,Assist  public with departmental related queries,Register of qeuries,Register of qeuries,Register of qeuries,Register of qeuries,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,18,Human Settlements,PD22,Assist public with Human Settlements queries,Attend to 100% of queries,108,Register of qeuries,No existing register,Assist  public with departmental related queries,Register of qeuries,Register of qeuries,Register of qeuries,Register of qeuries,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,18,Human Settlements,PD23,Conducting consumer education,No.of consumer education conducted,108,Attendance register of consumer education,6 Consumer educations conducted,10 consumer education ,3,3,2,2,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,19,Building Control,PD24,Evaluate and approve building plans in terms of National Building Regulations and Building Standards Act (No. 103 of 1977). Buildings below 500m²,% of land use applications below 500m3 processed within 30 days,108,Register with the date received and date approved.,"Received 81 building plans, processed and approved 62 plans",100%,100%,100%,100%,100%,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,19,Building Control,PD25,Evaluate and approve building plans in terms of National Building Regulations and Building Standards Act (No. 103 of 1977). Buildings above the area of  500m² and above,% of applications processed within 60 days,108,Register with the date received and date approved.,"Received 15 building plans, processed and approved 11 plans.",100%,100%,100%,100%,100%,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,19,Building Control,PD26,Building inspections,% of building inspections conducted as requested,108,Register and Building inspection reports,Received 45 requests for inspections and all of them were conducted as per request.,100%,100%,100%,100%,100%,A3-Vote 4,KPI Almost Met
6,PLANNING AND DEVELOPMENT,19,Building Control,PD27,"Assist public with plans related information such as site plans, forms and copies of building plans",Attend to 100% of queries,108,Register of qeuries,All 502 people who visited the office from the 1st to fouth quarter were attended and assisted.,Assist  public with departmental related queries,Register of qeuries,Register of qeuries,Register of qeuries,Register of qeuries,A3-Vote 4,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM01,Audit committee Meetings,No. of audit committee meetings held,32,Minutes meeting signed off,4 audit committee meetings,4 audit committee meetings,1,1,1,1,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM02,Approved of strategic plan,Approved of strategic plan,32,Approved Strategic Internal Audit Plan,Approved Strategic Internal Audit Plan,Approved of strategic plan,Approved Strategic Internal Audit Plan,-,-,-,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM03,Audit charter,Approved Internal Audit  charter,37,Approved Internal Audit  charter,Approved Internal Audit  Charter,Approved Internal Audit  charter,-,-,-,Approved Internal Audit  charter,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM04,Departmental Audit Report,No of Departmental Report develop and Discuss,118,Internal Audit Reports,8,"8 AFS, MM,Com, Tech,Corp,Fin,P&D,AFS Reports",2,3,1,2,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM05,Quarterly Performance reports ,No of reports quarterly,118,Audit of performance reports,4,4,1,1,1,1,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM06,Follow up Report on Internal Auditor Findings,No of Follow up reports,118,Follow up reports,4,4,1,1,1,1,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM07,Follow up on AG Report,No of Follow up reports,118,Follow up reports,2,2,,1,,1,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,2,Internal Audit,DMM08,Review Internal Audit Methodology by the end of June 2016,Reviewed and  approved  Internal Audit Methodology ,37,Reviewed and  approved  Internal Audit Methodology ,Approved  Internal Audit Methodology ,Reviewed Internal Audit Methodology ,Reviewed and  approved  Internal Audit Methodology ,-,-,-,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM09,Performance Management Reporting,Number PMS Reports submitted by 10th of every month,19,Proof of submision for each Quarter,4 PMS quarterly reports,4 PMS quarterly reports submitted by the 10th after end of quarter,1,1,1,1,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM10,Coordination of assessments for sec 57 managers,% of individual assessment conducted,15,Assessment reports,2016/17 assessments,100% individual assesments coordinated,100%,100%,100%,100%,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM11,DRAFT SDBIP,Approved DRAFT SDBIP,119,Approved DRAFT SDBIP,2015/16 DRAFT SDBIP,Approved DRAFT SDBIP,_,_,Approved DRAFTSDBIP,_,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM12,SDBIP,Approved SDBIP,13,Approved SDBIP,2015/16 SDBIP,Approved SDBIP,-,-,-,Approved SDBIP,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM13,Publication of annual report,No.of publications requested,42,Proof of publication,2015/16 annual report,1 publication,-,-,-,1,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM14,Annual and Mid term PMS reports, Annual and mid-term PMS reports,12,PMS Reports (Annual & Mid Term),2015/16 annual report, Annual and mid-term PMS reports,-, Annual and mid-term PMS reports,-, Annual and mid-term PMS reports,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM15,PMS Workshops,No. of  PMS workshops conducted,34,Attendance register for each workshop,The Workshop session for all managers held on the 28 January 2015,2 PMS workshops,1,-,1,-,A3-Vote 1,KPI Almost Met
7,Department in the MM'S OFFICE,3,Performance Mnanagement Unit,DMM16,To have SMs sign performance contracts,Percentage of  signed performance contract,11,Senior Managers performance contracts signed,100%, 100% Senior Managers performance contracts signed,100%,-,-,100%,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM17,Risk committee meetings,Number of risk committee meetings conducted,118,Signed attendance registers and approved minutes of meetings held,Quarterly meetings held in 2015/16 FY,4,1,1,1,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM18,Quarterly Risk Implementation Report,Number of risk implementation reports produced,118, Approved risk implementation monitoring reports, Quarterly risk monitoring reports for the 2015/16 ,4,1,1,1,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM19,Risk Plan,Approved risk plan,118,Approved risk plan by the risk committee (Minutes of risk committee),2 Approved Risk Implementation plan submitted,2 Approved Risk Implementation Plan for the 2017/18 FY,1,0,0,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM20,Compliance to the MFMA,No. of quartely compliance reports,120,Approved quarterly compliance report,Quarterly compliance report,4,1,1,1,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM21,Strategic Risk Assessment,Approved Strategic Risk Profile Report,120,Approved Strategic Risk Profile Report and Attendance Register,New ,1,0,0,0,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM22,Operational Risk Awareness and Assessment,No. of Approved Operational Risk Registers,121,Approved operational risk registers,New ,6,6,0,0,0,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM23,Fraud Awareness,No. of risk awareness workshops conducted.,121,Attendance registers,New ,1,0,1,0,0,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,22,RISK ,DMM24,Policy Review and Approval,No. of risk management policies reviewed and approved,121,2 Approved Risk Management Policies and Risk Charter,New ,3,3,0,0,0,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Extremely Well Met
7,Department in the MM'S OFFICE,4,Legal Services,DMM25,Gazzeting of all approved municipal By-laws,Gazzeted all adopted by-laws,17,Facilitate register with date of request and resolved date,Approved By- laws ,Gazzette 11  By -Laws ,Gazzete 11  By -laws ,-,Reviewed and approved lease agreement,100%,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,4,Legal Services,DMM26,Reviewing  lease agreements.,% of lease agreement reviewed and updated,122,List all the By-Laws Gazzeted,100%,100% review of lease agreement ,100%,100%,100%,100%,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,4,Legal Services,DMM27,Draft of contracts/agreements,% of all request resolved within 1 week,122,Register of the Lease agreement,100%,100% of all request received within 1 week,100%,100%,100%,100%,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,4,Legal Services,DMM28,Contract management committees,Functional Contract Management Committee,16,Contracts Register ,New ,Functional Contract Management Committee,-,,Research report ,-,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,4,Legal Services,DMM29,Research on establisment of municipal courts ,Research report ,16,Mkhondo Fire Protection membership form,New ,Research report ,gathering relevant information ,Development of terms of references for the research,Do consultation with stakeholdres,Finalise the research report ans submigt to MM with recommendation,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,4,Legal Services,DMM30,Appointment of municipal panel of Attorneys ,Appointment of 4 panel of Attorneys ,16,Appointment letter and SLA,5,Apponinment of 4 Panel of Attorneys ,Development of tender document and advertsment,Advertisment for panel of Attorneys,Appointment,-,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,4,Legal Services,DMM31,Consultation with Municipal Attorneys ,Report of all municipal cases ,16,Weigh bridge tickets,number of cases we have ,four consultation ,1,1,Approved fire management plan.,1747.5 tons ,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,5,Forestry,DMM32,Forest Protection,Approved fire management plan.,20,Approved fire management plan & Forestry membership certfificate,2014/15 Fire Management Plan,Approved fire management plan.,_,Forestry membership certfificate,Approved fire management plan.,_,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,5,Forestry,DMM33,Harvesting,No. of cubic meters harvested,31,,23827.9 cubic Meters,20000 tons,3000 tons,7000 tons,7000 tons,3000 tons,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,5,Forestry,DMM34,Tending,Number of hectares slashed and treated as per weeding plan,24,Photos of eradicated portion,3726.15 ha,1200 ha,300 ha,300 ha,300 ha,300 ha,A3-Vote 1,KPI Extremely Well Met
7,Department in the MM'S OFFICE,5,Forestry,DMM35,Establish & Maintain,Number of  hectors replanted of all budgeted areas,30,Photos of planted compartments,85 ha,100 ha,_,50 ha,50 ha,_,A3-Vote 1,KPI Extremely Well Met
