department_name,department_id,subdepartment_id,subdepartment_name,kpi_ref_number,kpa_name,kpi_owner_id,kpa_id,kpi,unit_of_measurement,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_target,second_quarter_target,third_quarter_target,fourth_quarter_target,budget
Municipal Manager's Office,1,1,Municipal Manager's Office,75,Infrastructure and Service Delivery,12,3,Conduct LAC meetings,number,1,"Signed registers, photos",,"3 HIV/AIDS, STI, & TB programs implemented by June 2017",1 Roadblocks coordinated,"Submission of Specification and Requisition and Advertisement of Supply, deliver and install a Landfill Compactor machine for Landfill site",,Appointment  of service provider for the 100% Fencing in the Traffic department,
Municipal Manager's Office,1,1,Municipal Manager's Office,76,Infrastructure and Service Delivery,10,3,Conduct War room meetings ,number,1,Report & attachments ,,4 LAC forum meetings conducted by June 2017,N/A,Submission of specification and Requisitions to supply chain for Fencing of the  Town Library and Indoor Sport center,1 Agricultural forum meetings attended,,
Municipal Manager's Office,1,1,Municipal Manager's Office,77,Infrastructure and Service Delivery,10,3,Implement Integrated Anti-poverty Service delivery programs,Reports,1,Report & attachments,,12 War room meetings conducted12 War room meetings conducted by June 2017,1 education campaign on road safety,,,Supply and deliver a Landfill Compactor  machine for Landfill site,
Municipal Manager's Office,1,1,Municipal Manager's Office,78,Infrastructure and Service Delivery,10,3,"Develop terms of reference & Specification, Advert, Appointment letter & council approved plan","Signed attendance registers, photos,  reports, invites",1,,Nil,4 Integrated Anti-poverty Service delivery programs implemented by June 2017,"Conduct 1000 learners, ",Submission of specification and advertisement for 1 HIV/AIDS training for war rooms ,1 LTO forum meetings attended,Appointment of service provider for Fencing of the  Town Library and Indoor Sport center,
Municipal Manager's Office,1,1,Municipal Manager's Office,79,Infrastructure and Service Delivery,15,3,"Conduct seminars, planning meetings, conduct IDDR (Event)",Registers,1,Delivery note,,1 Disaster management plan developed & approved by the council by June 2017,Conduct 900 driver’s license,1 Roadblocks coordinated,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,80,Infrastructure and Service Delivery,15,3,co-ordination of 4 disaster awareness campaigns ,"Signed attendance Registers, Invites, reports & photos",1,"appointment letter, photos, reports",Nil, 1 International strategy for Disaster Reduction to be conducted by June 2017,100 renewal of driver’s license and PDP,N/A,N/A,1  HIV/AIDS Training for War rooms,50000
Municipal Manager's Office,1,1,Municipal Manager's Office,81,Infrastructure and Service Delivery,15,3,Implement library awareness campaigns,"Signed attendance Registers, Invites, reports & photos",1,"Signed attendance, reports, and photos",,4 Disaster Awareness campaign conducted by June 2017,N/A,1 Awareness campaigns on road safety,N/A,1 Roadblocks coordinated,
Municipal Manager's Office,1,1,Municipal Manager's Office,82,Infrastructure and Service Delivery,11,3,"Hold 1 Career Exhibition, 1 Literacy -Poetry day, 1 world book day, 2 Holiday programs, 1 End year Function & Awards and 1 Library week events held.",%,1,"Signed attendance, reports, and photos",Nil,3 Library awareness campaigns conducted by June 2017,N/A,Conduct 1000 learners license,N/A,N/A,
Municipal Manager's Office,1,1,Municipal Manager's Office,83,Local Economic Development,10,4,100% completion of construction of  2 Boreholes in Zabasa(Ward 19) and Nkondlo (Ward 17),Reports,1,"Invites, Signed attendance, reports, and photos",,"1 Career Exhibition, 1 Literacy -Poetry day, 1 world book day, 2 Holiday programs, 1 End year Function &  Awards and 1 Library week events held by June 2017","1 HIV/AIDS, STI, & TB programs implemented","900 driver’s license,", ,1 education campaign on road safety,
Municipal Manager's Office,1,1,Municipal Manager's Office,84,Local Economic Development,10,4,"Completion of construction of 1 Feedlot (Fencing, Borehole, Storage) in ward 19 and 20",Reports,1,"Invites, Signed attendance, reports, and photos",Nil,Completed 100%  of the construction of 2 Boreholes  in Zabasa(Ward 19) 1 Borehole in Nkondlo (ward 17) by June 2017,1 LAC forum meeting conducted,"100 renewal of driver’s license, and PDP",Review of the business forum strategic plan and the document,"Conduct 1000 learners license,", R1 000 000
Municipal Manager's Office,1,1,Municipal Manager's Office,85,Local Economic Development,10,4,Development of an Agricultural Strategy,Reports,1,"Terms of reference & Specification, Advert, Appointment letter & council approved plan",," 1 Feedlot constructed (Fencing, Borehole, Storage0 in ward 19 and 20 by June 2017","3 War room meetings conducted, ",N/A,,"900 driver’s license,",
Municipal Manager's Office,1,1,Municipal Manager's Office,86,Local Economic Development,10,4,"Ploughing 12 Hectors of Maize in Lahlangubo ward 8(Gubenxa, Zinkonxa Agricutural Project grain Production and New Minds Co-op) and Purchasing of inputs for Nkondlo",,1,"Signed attendance registers, photos,  reports, invites",Gate security,Developed Agricultural Strategy by June 2017,1 Integrated Anti-poverty Service delivery Programs implemented, Development of terms of reference and advertising,,"100 renewal of driver’s license, and  PDP", R0
Municipal Manager's Office,1,1,Municipal Manager's Office,87,Local Economic Development,10,4,Completion of construction of the Production Hall(Ward 11),,1,signed attendance register,,"Ploughed 12 Hectors of Maize in Lahlangubo ward 8(Gubenxa grain Production, Zinkonxa Agricultural Project and New Minds Co-op) and Purchased  inputs for Nkondlo by June 2017",N/A,"1 HIV/AIDS, STI, & TB programs implemented",,Renovation of the stadium(Nkondlo Ward 17),
Municipal Manager's Office,1,1,Municipal Manager's Office,88,Local Economic Development,10,4,Development of the Piggery database,,1,"Signed attendance Registers, Invites, reports & photos",Security appointed,10% completion of Construction of the Poultry production Hall by June 2017(Ward 11),"Conduct seminars & planning meetings, Conduct IDDR event",1 LAC forum meeting conducted,,100 % Construction of the Pound facility,100000
Municipal Manager's Office,1,1,Municipal Manager's Office,89,Local Economic Development,10,4,Purchasing of 1000 bags of Fertilizer for (20 wards/ 40 Co-operatives),%,1,"Signed attendance Registers, Invites, reports & photos",,"Developed a Piggery database and Purchasing of inputs for 1 Piggery projects(Rose Piggery Ward 17)(Cwecweni Youth project Ward 2, Nxamagele Piggery Ward 1 with inputs) by June 2017",1 awareness on disaster management per wards ,"3War room meetings conducted, ",,"1 HIV/AIDS, STI, & TB programs implemented",
Municipal Manager's Office,1,1,Municipal Manager's Office,90,Local Economic Development,10,4,4 Business forum meetings attended,Reports,1,"Specification, Advert, Appointment Letter and Completion Report and Photos",,Purchased of 1000 bags of Fertilizer for (20 wards/ 40 Co-operatives) by June 2017,1 Library awareness campaigns conducted ,1 Integrated Anti-poverty Service delivery programs implemented,,1 LAC forum meeting conducted,50000
Municipal Manager's Office,1,1,Municipal Manager's Office,91,Local Economic Development,10,4,4 LED forum meetings attended,Reports,1,"Specification, Advert, Appointment Letter and Completion Report and Photos",Nil,4 Business forum meetings attended by June 2017,Literacy - Poetry day and Career Exhibition ,N/A,Appointment of service provider for the Supply delivery and installation 2 containers for Masibebahle Co-operative,"3War room meetings conducted, ",
Municipal Manager's Office,1,1,Municipal Manager's Office,92,Local Economic Development,10,4,4 Agricultural forum meetings attended,Registers,1,"Specification, Advert, Appointment letter and Council Resolution",Purchasing of poles for the testing center,4 LED forum meetings attended by June 2017,Submission of specification of 2 Boreholes in Zabasa (Ward 19)  and 1 Borehole in Nkondlo (Ward 17),N/A,,1 Integrated Anti-poverty Service delivery programs implemented,300000
Municipal Manager's Office,1,1,Municipal Manager's Office,93,Local Economic Development,10,4,4 LTO forum meetings attended ,Registers,1,"Confirmation from beneficiaries, Delivery note and Photos",,4 Agricultural forum meetings attended by June 2017,N/A,1 awareness on disaster management per wards ,Advertisement and appointment  for the Installation of an Irrigation Turbine for Mjoli Co-operative,Appointment of Service provider for development of the disaster Management Plan,
Municipal Manager's Office,1,1,Municipal Manager's Office,94,Local Economic Development,10,4,Conducted land summit,Registers,1,"Advert, Appointment Letter, Progress report and Completion report signed  by the constructor and H.O.D",Nil,4 LTO forum meetings attended by June 2017,Submission of specification of the development of an Agricultural Strategy,N/A,,N/A,R2 526 000
Municipal Manager's Office,1,1,Municipal Manager's Office,95,Local Economic Development,18,4,Development of Nkondlo local plan (Ward 17) ,Registers,1,"Signed database, Signed Report and Photos ",Nil,Conduct Land Summit by June 2017,N/A,"1 Holiday program, End year Function, Awards ",N/A,1 awareness disaster management per wards ,
Municipal Manager's Office,1,1,Municipal Manager's Office,96,Local Economic Development,18,4,Purchasing of GIS equipment and ArcGIS software,Registers,1,"Submission of specification, Advert, Appointment Letter and Delivery Note",,Developed Nkondlo local plan (Ward 17) by June 2017,,Advertisement of the Construction of 2 Boreholes in Zabasa (Ward 19)  and 1 Borehole in Nkondlo (Ward 17),,1 Library awareness campaigns conducted ,
Municipal Manager's Office,1,1,Municipal Manager's Office,97,Local Economic Development,18,4,"3 Ablution facilities will be  constructed, 2 Tanks will be purchased will be conducted in Goso Charcoal (Ward 06)",Registers,1,"Attendance Register, Invitation and Report/ Minutes",Establishment of war rooms in 20 wards  by June 2016,Purchased GIS equipment and ArcGIS software by June 2017,Development of specification and submission to supply chain,"Development, Submission of specification and ","Appointment and advertisement  of service provider for the Extension of 8 Flats, Guardroom and Ablution faicility in Transido","World book day, 1 Holiday Program",500000
Municipal Manager's Office,1,1,Municipal Manager's Office,99,Local Economic Development,18,4,Reviewing of the strategic plan document,Registers,1,"Attendance Register, Invitation and Report/ Minutes",4 roadblocks conducted in 2015/16,"3 Ablution facilities constructed, 2 Tanks purchased and 1 conducted in Goso Charcoal (Ward 06) by June 2017",Site visits to 5 Co-operatives,advertisement of the development of an Agricultural Strategy,"Submission of the inception report,  Draft and Final Feasibility Study and Business plan For Conference and Chalets and",,500000
Municipal Manager's Office,1,1,Municipal Manager's Office,100,Local Economic Development,18,4,Supply delivery and installation 2 containers for Masibebahle Co-operative,Registers,1,"Attendance Register, Invitation and Report/ Minutes",Nil,Review of the business forum strategic plan and the document by June 2017,"Submission of specification, Advertisement of the purchasing of 1000 bags of fertilizer",Development and  Submission of specification  for the ploughing of Lahlangubo projects(Gubenxa grain production and New Minds Co-op),,,
Municipal Manager's Office,1,1,Municipal Manager's Office,101,Local Economic Development,18,4,Installation of an Irrigation Turbine for Mjoli Co-operative,Registers,1,"Attendance Register, Invitation and Report/ Minutes",Nil,Supplied delivered and installed 2 containers for Masibebahle Co-operative (ward 11) by June 2017,1 Business forum meetings attended,,,,3500000
Municipal Manager's Office,1,1,Municipal Manager's Office,102,Local Economic Development,18,4,Purchasing inputs for 2 Baking projects(Clarkebury and Masondluluntu baking project),Reports,1,"Signed attendance register, Programme and Invite",Nil,Installed Irrigation Turbine for Mjoli Co-operative by June 2017,N/A,,,,350000
Municipal Manager's Office,1,1,Municipal Manager's Office,103,Local Economic Development,18,4,100% completion of Extension of 8 Flats Guardroom and 4 Ablution Facility in Transido,Reports,1,Report Signed by the MM,Nil,Purchased inputs for 2 Baking projects(Clarkebury and Masondluluntu baking project) by June 2017,,,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,104,Local Economic Development,18,4,Development  of Feasibility Study and Business Plan for Conference Center and Chalets,Reports,1,"Advert, Appointment Letter and Delivery note",Nil,"100% completion of Extension of 8 Flats, Guardroom and 4 Ablution Facilities in Transido by June 2017",1 Agricultural forum meetings attended,Advertisement of the development of designs for the construction of Production Hall,,,70000
Municipal Manager's Office,1,1,Municipal Manager's Office,105,Local Economic Development,18,4,"Development of a EIA and Business Plan for an adventure Trail project in Ward 13,19 and 20",Reports,1,"Advert, Appointment Letter, Delivery and Photos",Nil,Developed an Feasibility Study  and Business Plan for Conference Center and Chalets and appointment of service provider for survey and building plans by June 2017,,Site visits to 5 Co-operatives,,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,106,Local Economic Development,17,4,Purchasing of marketing material for Tourism Indaba 2017,Reports,1,"Signed Reviewed strategic plan document, Invite, Program and Attendance Register",Site is available,"Developed a EIA and Business Plan for an adventure Trail project in Ward 13,19 and 20 by June 2017",1 LTO forum meetings attended,Appointment and delivery of 1000 bags of Fertilizer,,,500000
Municipal Manager's Office,1,1,Municipal Manager's Office,107,Local Economic Development,17,4,"Heroes park maintenance (LED lights, Paving, sceptic Tank, Guardroom)",Reports,1,"Advert, Appointment letter, Delivery note and Photos",Nil,Purchased Marketing material for Tourism Exhibition shows by June 2017,,1 Business forum meetings attended,,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,108,Local Economic Development,17,4,"Supply, delivery and installation 0f 10 Benches in the Heroes Park",Reports,1,"Advert, Appointment letter, Delivery note and Photos",Nil,Maintenance of the Heroes park by June 2017,N/A,,,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,109,Local Economic Development,17,4,Paving of the King Ngubengcuka Monument in Clarke bury,Reports,1,"Specification, Advert, Appointment Letter, Signed progress Reports",Establishment of war rooms in 20 wards," 10 Benches supplied, delivered and Installed in the Heroes Park by June 2017",N/A,,"Submission of inception Report for the development of EIA and Business Plan for an adventure Trail project in Ward 13,19 and 20",,0
Municipal Manager's Office,1,1,Municipal Manager's Office,110,Local Economic Development,17,4,Launching of the Ngcobo History book,Reports,1,"Specification, Advert, Appointment Letter, Signed progress Reports",Nil,Paved Ngubengcuka Monument by June 2017,Development and submission of specification for the purchasing of GIS equipment and ArcGIS software,,,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,111,Local Economic Development,17,4,Adoption of IDP /Budget process plan by  council  for the year31/08/2016,Reports,1,"Advert, Appointment Letter, Delivery note, Exhibition Photos",Nil,Launch of Ngcobo History Book by June 2017,N/A,1 LED forum meetings attended,Purchasing of marketing material for Tourism shows 2017,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,112,Local Economic Development,18,4,Coordinate 40 IDP road shows ,,1,"Signed Appointment Letter, Delivery Note and Photos",1 IDDR conducted in 2015/16,IDP /Budget Process Plan adopted by council  on the31/08/2016,N/A,,Submission of specifications and advertisement of paving and  LED lights in the heroes Park and Advertisement of supply and installation of Sceptic tank and construction of Guardroom,100% completion of Construction of 2 Boreholes in Zabasa (Ward 19) and 1 Borehole in Nkondlo (Ward 17),2m
Municipal Manager's Office,1,1,Municipal Manager's Office,113,Local Economic Development,18,4,Credible 2017/18 IDP adopted by council ,Reports,1,"Signed Appointment Letter, Delivery Note and Photos",,40 IDP road shows coordinated  by June 2017,Development of specification for the Extension of 8 Flats in Transido,1 Agricultural forum meetings attended,"Advertisement of the supply, delivery and installation of 10 Benches in the Heroes Park",Construction of 1 Borehole and 1 storage in ward 19 and 20 and Construction of 2 Hectares of Fencing in ward 19 and 20,0
Municipal Manager's Office,1,1,Municipal Manager's Office,114,Local Economic Development,19,4,Conduct 1 Strategic planning ,Reports,1,"Signed Appointment Letter, Delivery Note and Photos",Nil,Credible 2017/18 IDP adopted by council  by 31/08/2016,Development of Specification and advertisement for the development of Feasibility Study  and Business Plan for Conference and Chalets,,Appointment of service provider for the paving of the King Ngubengcuka Monument in Clarke bury,Submission of draft report and Final Agricultural strategy report to the office of the Municipal Manager,0
Municipal Manager's Office,1,1,Municipal Manager's Office,115,Local Economic Development,19,4,"Conduct 1 workshop on the Process Plan for Managers, Ass Managers and PMS champions by June 2017",Reports,1,"Signed copy of the Book, Registers and Photos ",8 Events coordinated 2015/16,1 IDP strategic planning conducted by June 2017,"Development of Specification and advertisement for the development of EIA and Business Plan for an adventure Trail project in Ward 13,19 and 20",1 LTO forum meetings attended,N/A,"Purchasing of inputs for (New Minds and Gubenxa grain projects, Zinkonxa Agricultural and Nkondlo",0
Municipal Manager's Office,1,1,Municipal Manager's Office,116,Local Economic Development,20,4,Adoption of Annual report to the council,Reports,1,Council Resolution and IDP Process Plan,Fencing of the Camps in Zabasa ,"1 workshop conducted on the Process Plan for Managers, Ass Managers and PMS champions by June 2017",,,N/A,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,117,Local Economic Development,20,4,"Submission of the  2015/16 Final annual report, Annual performance information and Draft Annual report  to Auditor general and Treasury  on the legislated dated",Adoption,1,signed minutes and attendance registers,Nil,Annual report adopted by council on the 31/01/2017,N/A,N/A,N/A,,300000
Municipal Manager's Office,1,1,Municipal Manager's Office,118,Municipal Financial Viability and Management,20,5,Preparation of the 2016/17 annual budget,Registers,1,Council Resolution,Development of Feasibility study and Business plan and Fencing of the Poultry site,"Submitted the  2015/16 Final annual report, Annual performance information and Draft Annual report  to Auditor general and Treasury on the legislated dated",N/A,N/A,Credible 2017/18 Draft IDP adopted by council ,,100000
Municipal Manager's Office,1,1,Municipal Manager's Office,119,Municipal Financial Viability and Management,17,5,"Prepare 108 reconciliations (Vat, Revenue, Debtors, Payroll, Creditors, Bank, Assets Reconciliations, Investments, Grants)",Adoption,1,Signed Minutes and Registers and strategic plan report signed by MM,Nil,Date by which the draft and final Budgets are adopted by council by May 2016,N/A,Appointment and delivery of GIS equipment and ArcGIS software,,10% Completion of the construction of the production hall,40000
Municipal Manager's Office,1,1,Municipal Manager's Office,120,Municipal Financial Viability and Management,17,5,Preparation of financial management reports ,,1,Signed Minutes and Registers,600 bags of Fertilizer purchased,108 reconciliations prepared by June 2017,N/A,2 Tanks will be purchased will be conducted,Conduct 1 Strategic planning ,"Inputs for 1 Piggery projects(Rose Piggery Ward 17)(Cwecweni Youth project Ward 2, Nxamagele Piggery Ward 1 with inputs)",30000
Municipal Manager's Office,1,1,Municipal Manager's Office,121,Municipal Financial Viability and Management,17,5,• % implementation of the audit action plan,Reports,1,council resolution,Nil,12 section 71 and 72 financial reports prepared by June 2017,N/A,N/A,N/A,N/A,500000
Municipal Manager's Office,1,1,Municipal Manager's Office,122,Municipal Financial Viability and Management,17,5,Submission of section 71 and 72 reports to the Mayor and National and Provincial Treasury,Registers,1,Proof of submission/acknowledgement of receipt from AG,Purchasing of inputs for Masibebahle Co-operative,100• % implementation of the audit action plan by June 2017,IDP /Budget Process Plan adopted by council  on the 31/08/2016,"Submission of requisition, specification and Advertisement of the Supply delivery and installation 2 containers for Masibebahle Co-operative",Final AR adopted by Council on  January 2017,1 Business forum meetings attended,
Municipal Manager's Office,1,1,Municipal Manager's Office,123,Municipal Financial Viability and Management,17,5,Prepare 12 monthly budget/expenditure reports prepared for departments ,Adoption,1,"Council resolution & budget, Budget process plan", Nil,Turnaround time (in days) for submission of section 71 reports to Mayor and National and Provincial Treasury after month end by June 2017,N/A,N/A,Final Annual Report submitted to Auditor general and Treasury  on  January 2017,,
Municipal Manager's Office,1,1,Municipal Manager's Office,124,Municipal Financial Viability and Management,17,5,Preparation of 2014/15 financial statements ,Reports,1,Signed Reconciliations,Development of the Ngcobo History Book by 2016,12 monthly budget and expenditure reports prepared for each department by June 2017,N/A,N/A,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,125,Municipal Financial Viability and Management,17,5,Submission of credible financial statements to AG ,Date and adoption,1,"Monthly section 71 reports signed by CFO and MM and section 72 report signed by CFO and MM, Proof of submission from Treasury.",Adopted IDP/Budget/process plan 2016/17 ,Date by which 2014/15 financial statements are prepared by August 2016,,Advertisement of service provider for the Extension of 8 Flats in Transido,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,126,Municipal Financial Viability and Management,17,5,Maintenance of an updated irregular expenditure register,Number,1,Report,Coordinated 40 IDP road shows ,Date by which financial statements are submitted to AG  31 August 2016,N/A,Appointment of service provider for the development of Feasibility Study and Business Plan for conference and Chalets,,1 LED forum meetings attended,
Municipal Manager's Office,1,1,Municipal Manager's Office,127,Municipal Financial Viability and Management,17,5,Submission of the irregular expenditure register to council ,Number ,1,"Monthly section 71 reports signed by CFO and MM and section 72 report signed by CFO and MM, Proof of submission from Treasury.",Credible 2015/16 IDP adopted by council,% updated irregular expenditure register by June 2017,"Conduct 1 workshop on the Process Plan for Managers, Ass Managers and PMS champions ","Appointment of service provider for the development of EIA and Business Plan for an adventure Trail project in Ward 13,19 and 20",,,
Municipal Manager's Office,1,1,Municipal Manager's Office,128,Municipal Financial Viability and Management,17,5,Conduct a Workshop on SCM policy and procedures,%,1,Monthly budget and expenditure reports signed by CFO and acknowledgement of receipt signed by User HOD,1 IDP strategic planning conducted,4 times per year of submission of irregular expenditure register to council by June 2017,Draft AR adopted by Council on  January 2017,,,1 Agricultural forum meetings attended,
Municipal Manager's Office,1,1,Municipal Manager's Office,129,Municipal Financial Viability and Management,17,5,Update the National Treasury Database with bids  above R30 000,Turnaround time,1,2014/15 FS signed by CFO and MM,Nil,1 SCM Workshops conducted on policies and procedures by June 2017,Annual Performance Information submitted to Auditor general and Treasury on 31 August 2016,Advertisement and appointment for service provider for the purchasing of Marketing material ,Draft budget adopted by council by 31 Mar 2016,,
Municipal Manager's Office,1,1,Municipal Manager's Office,130,Municipal Financial Viability and Management,17,5,Maintenance of an up to date contract register, Number,1,Confirmation of submission/receipt signed  by the AG,Annual report 2014/15 adopted by council,100% update of the National Treasury database with bids above R30 000 by June 2017,Budget process plan approved by council,N/A,"27 recons (Vat, Revenue, Debtors, Payroll, Creditors, Bank, Assets Reconciliations, Investments, Grants)",1 LTO forum meetings attended,
Municipal Manager's Office,1,1,Municipal Manager's Office,131,Municipal Financial Viability and Management,17,5,Prepare and submit SCM reports to council,date,1,Irregular expenditure register signed-off by CFO,Annual report 2014/15 submitted to AG on  Jan 2017,% update of the contracts register by June 2017,"27 recons (Vat, Revenue, Debtors, Payroll, Creditors, Bank, Assets Reconciliations, Investments, Grants)",Advertisement of the paving of the King Ngubengcuka Monument in Clarke bury,3 section 71  reports prepared  1 section 72 report prepared,,
Municipal Manager's Office,1,1,Municipal Manager's Office,132,Municipal Financial Viability and Management,17,5,Development of quarterly department procurement plans based on their SDBIPs.,Date,1,Signed minutes of council,2014/15 budget prepared and approved on 31 May 2015,Number of SCM reports submitted to council by June 2017,3 section 71  reports prepared,N/A,% implementation of the audit action plan,Land summit conducted,
Municipal Manager's Office,1,1,Municipal Manager's Office,133,Municipal Financial Viability and Management,17,5,Implementation of the Procurement plan,Update,1,Attendance registers and workshop report.,"Prepare 88 (22x4) reconciliations (Vat, Revenue Debtors, Payroll, Creditors, Bank, Assets additions, Investments)",Number of quarterly departmental procurement plans developed by June 2017 ,N/A,Coordinate 20 IDP roadshows,"Section 71 reports submitted to the Mayor, Provincial and National Treasury within 10 working days after month",Completion of draft report,700000
Municipal Manager's Office,1,1,Municipal Manager's Office,134,Municipal Financial Viability and Management,19,5,Adherence to the predetermined bid committee sitting schedules,times,1,Monthly update of tenders and NT database reflected all awarded bids,12 Section 71  reports and 1 section 72 report prepared ,100% implementation of the approved Procurement plan by June 2017,"Section 71 reports submitted to the Mayor, Provincial and National Treasury within 10 working days after month",N/A,3 monthly budget and expenditure reports prepared for departments ,N/A,1.3Million
Municipal Manager's Office,1,1,Municipal Manager's Office,135,Municipal Financial Viability and Management,19,5,Projects advertised within seven(7) days of receipt,Number,1,Contracts register signed by CFO and register of awarded bids,100% implementation of the AG Action Plan by 2014/15,100% adherence to the predetermined bid committee sitting schedules by June 2017,3 monthly budget and expenditure reports prepared for departments ,N/a,N/a, Ablution facilities will be  constructed,500000
Municipal Manager's Office,1,1,Municipal Manager's Office,136,Municipal Financial Viability and Management,19,5,Increase own revenue through collection of billed revenue,Percentage,1,SCM quarterly report  and signed council minutes,Section 71 reports and section 72 report submitted to the Mayor  Provincial and National Treasury within 10 working days after month,Turnaround time (in days) for preparation advertisements for service delivery projects by June 2017,2014/15 financial statements prepared by 31 August 2015,"27 recons (Vat, Revenue, Debtors, Payroll, Creditors, Bank, Assets Reconciliations, Investments, Grants)",N/a,N/A,700000
Municipal Manager's Office,1,1,Municipal Manager's Office,137,Municipal Financial Viability and Management,19,5,Indigent households registered in the indigent register,%,1,"Quarterly procurement plans signed by User Hod, CFO and MM as approval",Budget/expenditure reports prepared quarterly,1% increase in own revenue by June 2017,Final financial statements submitted to AG by 31 August 2016,3 section 71  reports prepared,100% updated irregular expenditure register,,
Municipal Manager's Office,1,1,Municipal Manager's Office,138,Municipal Financial Viability and Management,19,5,Complete asset register,Number,1,"Procurement plans, SCM process documents",Financial statements prepared for 2013/14 FY,4000 indigent households registered in the indigent register by June 2017,100% updated irregular expenditure register,N/A,Irregular expenditure register submitted to council once this quarter,,
Municipal Manager's Office,1,1,Municipal Manager's Office,139,Good Governance and Public Participation,19,6,3 Managers below section 56s with signed performance agreements ,Number,1,Registers,Financial Statements submitted timeously,compiled  asset register by June 2017,Irregular expenditure register submitted to council once this quarter,"Section 71 reports submitted to the Mayor, Provincial and National Treasury within 10 working days after month",1SCM conducted on policies and procedures,,
Municipal Manager's Office,1,1,Municipal Manager's Office,140,Good Governance and Public Participation,19,6,"2 Public Participation Events coordinated( 1Exco Imbizo, 1 SOMA",Percentage,1,"Advert and Requisition, Requisition register",Maintained an updated Irregular expenditure register,3 Managers below section 56s with signed performance agreements by June 2017 ,N/A,3 monthly budget and expenditure reports prepared for departments ,100% updated National Treasury database with bids above R30 000,,3500000
Municipal Manager's Office,1,1,Municipal Manager's Office,141,Good Governance and Public Participation,19,6,Coordinate Pu blic participation(MEDIA  interview)(Vukani ),Percentage,1,Income report and billing report.,4 Irregular expenditure register submitted annually,"2  Public Participation Events coordinated (Exco Imbizo, SOMA)  by June 2017",100% updated National Treasury database with bids above R30 000,N/a,100% updated contracts register,,400000
Municipal Manager's Office,1,1,Municipal Manager's Office,142,Good Governance and Public Participation,19,6,"Purchase equipment for 7 youth Projects, Sinako Youth, Zetnet Youth, Mavukayibambe  CO-OP, Mvumbi Multi Purpose Coop, Mizamo Youth Project,  NO:6 Farmers Coop,  Sisonke Upholstery",Reports,1,Indigent Register signed by H.O.D,1 workshop conducted,Pu blic participation( MEDIA interview )( 2 Vukani ) by June 2017,100% updated contracts register,100% updated irregular expenditure register,1 SCM report submitted to council,,1000000
Municipal Manager's Office,1,1,Municipal Manager's Office,143,Good Governance and Public Participation,19,6,"Purchase equipment  for Women projects supported, Ilitha Labanye Women`s Project Ward-10, Nosizwe Women Poultry Project Ward-4, Mayihlome Liyana Foundation Ward-9",percentage,1,compilation of the  asset register,National Treasury Database updated with bids above R30 000,"Purchase equipment for 7 youth Projects, Sinako Youth, Zetnet Youth, Mavukayibambe  CO-OP, Mvumbi Multi-Purpose Coop, Mizamo Youth Project,NO:6 Farmers Coop,  Sisonke Upholstery by June 2017",1 SCM report submitted to council,Irregular expenditure register submitted to council once this quarter,5 Departmental Procurement Plans Developed ,Supply delivery and installation 2 containers for Masibebahle Co-operative,0
Municipal Manager's Office,1,1,Municipal Manager's Office,144,Good Governance and Public Participation,19,6,"Purchase equipment for Older person projects Khulasande Poultry Project, Mzamo Eldery Persons Project",Number,1,Signed performance agreements ,Contract register maintained,"Purchase equipment  for Women projects supported, Ilitha Labanye Women`s Project Ward-10, Nosizwe Women Poultry Project Ward-4, Mayihlome Liyana Foundation Ward-9 by June 2017",5 Departmental Procurement Plans Developed ,N/A,50% implementation of the Procurement plan,,
Municipal Manager's Office,1,1,Municipal Manager's Office,145,Good Governance and Public Participation,19,6,"Purchase Wheel Chair Repairing Kit, walking stick rubbers and wheelchair parts for Singalakha Disabled Project",Register,1,photos,4 SCM reports submitted to council,"Purchase equipment for Older person projects Khulasande Poultry Project, Mzamo Eldery Persons Project by June 2017",50% implementation of the Procurement plan,100% updated National Treasury database with bids above R30 000,,Installation of an Irrigation Turbine for Mjoli Co-operative,
Municipal Manager's Office,1,1,Municipal Manager's Office,146,Good Governance and Public Participation,19,6,Purchase  of protective clothing for Golden Games, Signed performance agreements ,1,"Invoices,Qatations from the media houses",Procurement plans developed,"Purchase Wheel Chair Repairing Kit, walking stick rubbers and wheelchair parts for Singalakha Disabled Project by June 2017",100% adherence to the predetermined bid committee sitting schedules,100% updated contracts register,100% adherence to the predetermined bid committee sitting schedules,,
